,Yields,Baseline,Predicted Yields,Origin,Coupling Partner
160,46.0,38.68284789644013,36.45952380952381,optimization,Nitrobenzene
161,1.0,38.68284789644013,30.34333333333333,optimization,1-ethynyl-4-methylbenzene
162,49.0,38.68284789644013,43.87333333333334,optimization,Nitrobenzene
163,45.0,38.68284789644013,46.74,optimization,Nitrobenzene
164,50.0,38.68284789644013,30.395016511266512,optimization,Acetophenone
165,63.0,38.68284789644013,63.00013492063492,optimization,Nitrobenzene
166,0.0,38.68284789644013,4.156789654789654,optimization,Acetophenone
167,39.0,38.68284789644013,27.89838888888889,optimization,Acetophenone
168,52.0,38.68284789644013,56.12033333333333,optimization,Nitrobenzene
169,8.0,38.68284789644013,24.04527197802198,optimization,Acetophenone
170,74.0,38.68284789644013,61.135,optimization,Nitrobenzene
171,38.0,38.68284789644013,25.775575396825403,optimization,Acetophenone
172,21.0,38.68284789644013,12.379580364080367,optimization,Acetophenone
173,41.0,38.68284789644013,58.94784632034629,optimization,Acetophenone
174,20.0,38.68284789644013,11.54,optimization,Acetophenone
175,19.0,38.68284789644013,34.63,optimization,phenylacetylene
176,30.0,38.68284789644013,63.7326085858586,optimization,Acetophenone
177,14.0,38.68284789644013,9.3578180985681,optimization,Acetophenone
178,1.0,38.68284789644013,9.535384615384615,optimization,Acetophenone
179,56.0,38.68284789644013,84.39539285714287,optimization,Phenylacetylene
180,77.0,38.68284789644013,35.49833333333333,optimization,Nitrobenzene
181,77.0,38.68284789644013,45.119151681651694,optimization,1-ethynyl-4-methylbenzene
182,31.0,38.68284789644013,45.119151681651694,optimization,1-ethynyl-4-methylbenzene
183,68.0,38.68284789644013,52.93333333333334,optimization,Nitrobenzene
184,66.0,38.68284789644013,75.9020293040293,optimization,Phenylacetylene
185,83.0,38.68284789644013,55.49898190698192,optimization,1-ethynyl-4-methylbenzene
186,33.0,38.68284789644013,61.6087261904762,optimization,Acetophenone
187,25.0,38.68284789644013,42.27085908209438,optimization,Acetophenone
188,46.0,38.68284789644013,41.84005555555555,optimization,Nitrobenzene
189,30.0,38.68284789644013,7.41357142857143,optimization,Acetophenone
190,52.0,38.68284789644013,12.697857142857142,optimization,Acetophenone
191,0.0,38.68284789644013,43.20599206349207,optimization,Acetophenone
192,48.0,38.68284789644013,42.27085908209438,optimization,Acetophenone
193,29.0,38.68284789644013,39.80949761186526,optimization,1-ethynyl-4-methylbenzene
194,26.0,38.68284789644013,21.35255952380952,optimization,Phenylacetylene
195,20.0,38.68284789644013,25.615476190476194,optimization,Phenylacetylene
196,75.0,38.68284789644013,53.20352411477411,optimization,Acetophenone
197,0.0,38.68284789644013,22.744666666666667,optimization,Nitrobenzene
198,67.0,38.68284789644013,72.252,optimization,phenylacetylene
199,83.0,38.68284789644013,14.611887916005564,optimization,1-ethynyl-4-methylbenzene
200,52.0,38.68284789644013,52.26687825207988,optimization,1-ethynyl-4-methylbenzene
201,0.0,38.68284789644013,21.9125,optimization,Nitrobenzene
202,40.0,38.68284789644013,27.039821428571432,optimization,Nitrobenzene
203,28.0,38.68284789644013,55.16736544011545,optimization,Nitrobenzene
204,87.0,38.68284789644013,71.8527476543065,optimization,Acetophenone
205,1.0,38.68284789644013,23.73572619047619,optimization,Phenylacetylene
206,39.0,38.68284789644013,14.901666666666666,optimization,Phenylacetylene
207,63.0,38.68284789644013,51.728398814850436,optimization,1-ethynyl-4-methoxybenzene
208,38.0,38.68284789644013,20.059274194372875,optimization,1-ethynyl-4-methylbenzene
